#Selection name: Selection 1
#Area (µm^2): 741180.83
Cell ID,Cluster,Transcripts,Area (µm^2)
dmikkkfj-1,Cluster 1,11,115.95
dmgbiiic-1,Cluster 4,22,60.62
dmiknjnp-1,Cluster 20,26,178.30
dmihfdgj-1,Cluster 4,1,17.37
dmhhcgmm-1,Cluster 4,13,80.93
dmhhhjfj-1,Cluster 4,4,28.48
dmhjjbnf-1,Cluster 4,2,10.91
dmgmcfle-1,Cluster 4,4,57.34
dmhhjbig-1,Cluster 4,2,19.87
dmgmdpeb-1,Cluster 4,3,38.05
dmiibjak-1,Cluster 4,26,150.52
dmhjfgja-1,Cluster 4,3,14.40
dmhhlngi-1,Cluster 4,5,10.76
dmhiemfi-1,Cluster 4,10,114.90
dmgohjjl-1,Cluster 4,2,32.25
dmiicmon-1,Cluster 4,24,115.61
dmjdhjmg-1,Cluster 4,6,31.15
dmiikdal-1,Cluster 4,10,58.45
dmjcjpia-1,Cluster 4,11,81.41
dmiiejje-1,Cluster 4,18,129.53
dmhkfbdf-1,Cluster 4,4,40.49
dmhjpple-1,Cluster 4,5,24.90
dmhgnjoh-1,Cluster 4,6,44.99
dmhikpph-1,Cluster 4,6,43.09
dmgjoilg-1,Cluster 6,16,103.22
dmgpenlb-1,Cluster 4,21,208.14
dmgjgpda-1,Cluster 4,8,72.97
dmglmole-1,Cluster 4,5,63.25
dmgplimp-1,Cluster 4,18,102.56
dmhddahe-1,Cluster 4,6,21.69
dmgijbhd-1,Cluster 4,2,13.83
dmgloajk-1,Cluster 4,11,58.49
dmhekomb-1,Cluster 4,8,34.85
dmhepgoc-1,Cluster 4,31,114.40
gnhapiel-1,Cluster 4,11,91.43
dmhjpacm-1,Cluster 4,14,98.13
dmglemhb-1,Cluster 4,6,30.07
dmghgmfc-1,Cluster 6,34,192.62
dmgieggj-1,Cluster 6,15,71.37
dmgllban-1,Cluster 4,10,97.24
gnhapggc-1,Cluster 4,3,76.43
dmgkocfm-1,Cluster 4,10,47.13
gnhggphp-1,Cluster 4,5,26.89
dmikbclp-1,Cluster 4,16,72.00
dmikfnbi-1,Cluster 4,3,44.73
dmiimngf-1,Cluster 4,5,18.85
dmjcecbb-1,Cluster 4,11,63.03
dmiiolfn-1,Cluster 4,5,16.85
dmijhknp-1,Cluster 4,1,11.39
dmijkpii-1,Cluster 4,3,14.48
dmiinddc-1,Cluster 4,9,35.33
dmhkmlcd-1,Cluster 4,25,144.88
dmhfghhj-1,Cluster 4,7,43.71
gmacjikk-1,Cluster 4,3,39.67
gnhgiiop-1,Cluster 4,3,75.65
gmadkgan-1,Cluster 4,12,135.31
gmaafnje-1,Cluster 1,28,211.29
gmadfjld-1,Cluster 4,5,98.02
gmabnnhd-1,Cluster 4,2,16.83
gmabgdol-1,Cluster 4,4,117.12
dmijmnbe-1,Cluster 4,10,50.42
dmikgjpi-1,Cluster 4,6,58.61
gnhiiafm-1,Cluster 4,10,64.01
gnhkghjb-1,Cluster 4,6,95.49
gmaamebb-1,Cluster 4,2,33.31
dmghaojm-1,Cluster 4,25,170.53
dmhepnpg-1,Cluster 4,30,190.26
dmglblbh-1,Cluster 4,9,112.46
dmgghhia-1,Cluster 4,5,65.00
gngphckk-1,Cluster 4,9,39.22
dmghhgen-1,Cluster 4,15,102.29
dmghgiif-1,Cluster 4,25,142.36
gnffddnm-1,Cluster 4,6,44.66
gnhglhei-1,Cluster 4,7,101.21
gngmpbpk-1,Cluster 6,24,118.73
gnhgfijf-1,Cluster 4,12,46.55
gngmfhhf-1,Cluster 4,12,115.79
gnhkgbea-1,Cluster 4,4,19.67
gnemallo-1,Cluster 4,5,37.75
gnhicaca-1,Cluster 4,14,94.11
golnpmlb-1,Cluster 1,56,294.59
dodlmmoo-1,Cluster 1,30,196.10
gndjgafl-1,Cluster 1,34,265.63
gndcmkpo-1,Cluster 13,19,161.05
dobpmkfp-1,Cluster 6,28,121.13
dobicehm-1,Cluster 4,13,104.39
docadgal-1,Cluster 4,12,54.59
docbmdca-1,Cluster 1,5,27.62
doahbgpk-1,Cluster 4,4,54.75
dodhgbhl-1,Cluster 11,15,70.09
docdhppl-1,Cluster 2,18,74.14
dobcpbgp-1,Cluster 3,17,86.23
dobehbpa-1,Cluster 13,25,170.16
dobhnneo-1,Cluster 4,18,59.83
dobcjoma-1,Cluster 1,14,54.25
dobdglpg-1,Cluster 13,30,215.15
dobibhgj-1,Cluster 4,2,87.74
doagbmmb-1,Cluster 4,11,58.87
dobenheo-1,Cluster 13,7,80.27
dobhcgfh-1,Cluster 6,24,130.36
gnddenek-1,Cluster 1,17,123.31
doegflah-1,Cluster 1,28,180.97
gndfdilf-1,Cluster 1,7,53.04
gnddmcnk-1,Cluster 1,13,213.34
doejphdm-1,Cluster 1,7,97.77
gndeohdb-1,Cluster 1,13,195.85
gndekhkf-1,Cluster 20,14,95.58
gnchbjlb-1,Cluster 23,5,45.63
dodlobin-1,Cluster 20,7,42.04
doehggkc-1,Cluster 1,10,87.63
gndfdfil-1,Cluster 1,18,98.24
gndcpbin-1,Cluster 1,41,266.71
dodkbclk-1,Cluster 1,36,180.18
dodkadpk-1,Cluster 1,9,29.85
gncnnema-1,Cluster 13,8,112.14
gndeebkf-1,Cluster 1,34,212.75
doegpmke-1,Cluster 1,32,178.55
gndkenle-1,Cluster 16,32,85.36
dobcbepa-1,Cluster 11,10,70.89
dobifbnf-1,Cluster 4,10,65.67
dobcjnip-1,Cluster 7,23,137.76
dobdgagn-1,Cluster 1,7,61.01
dobclpep-1,Cluster 4,13,96.29
dobfhnlk-1,Cluster 7,49,147.80
dobbnane-1,Cluster 5,9,42.47
dobfcfko-1,Cluster 23,13,156.87
dobiobme-1,Cluster 4,3,56.84
gndjigce-1,Cluster 23,18,102.26
dobgejee-1,Cluster 5,15,105.40
gnephngl-1,Cluster 15,34,62.91
dobgakmn-1,Cluster 7,15,67.94
dobeoadl-1,Cluster 2,14,129.47
dobffgkf-1,Cluster 15,8,70.49
dobbngpl-1,Cluster 11,18,117.66
gnfaabbj-1,Cluster 16,23,51.16
dobjfpaj-1,Cluster 4,11,62.36
gnfalmfj-1,Cluster 6,17,87.15
gndhabdb-1,Cluster 20,4,100.57
gndadonp-1,Cluster 13,35,197.55
gncpeiie-1,Cluster 13,49,199.48
gndgokia-1,Cluster 4,5,57.47
